Task Name, Workload Size, CPU Shares, Duration
chmod, 25, 5000, 17.94691236813863
chmod, 30, 5000, 21.067396958669026
chmod, 10, 6000, 8.2928679784139
chmod, 15, 6000, 13.346210479736328
chmod, 20, 6000, 17.48641236623128
chmod, 25, 6000, 21.711546262105305
chmod, 30, 6000, 26.670458714167278
chmod, 10, 7000, 7.293524185816447
chmod, 15, 7000, 11.430063724517822
chmod, 20, 7000, 14.123694260915121
chmod, 25, 7000, 18.50788911183675
chmod, 30, 7000, 22.70697871843974
chmod, 10, 8000, 6.606512467066447
chmod, 15, 8000, 9.85997494061788
chmod, 20, 8000, 13.206843296686808
chmod, 25, 8000, 17.049696683883667
chmod, 30, 8000, 19.96759271621704
matrix, 10, 1000, 221.89340217908224
matrix, 15, 1000, 321.8412803014119
matrix, 20, 1000, 425.06907478968304
matrix, 25, 1000, 509.88852620124817
matrix, 30, 1000, 627.659523566564
matrix, 10, 2000, 79.06640219688416
matrix, 15, 2000, 119.5617311000824
matrix, 20, 2000, 161.8923799196879
matrix, 25, 2000, 207.2435129483541
matrix, 30, 2000, 246.93938676516214
matrix, 10, 3000, 46.346568981806435
matrix, 15, 3000, 70.98685193061829
matrix, 20, 3000, 98.15486939748128
matrix, 25, 3000, 124.93968780835469
matrix, 30, 3000, 144.83082350095114
matrix, 10, 4000, 32.92342289288839
matrix, 15, 4000, 50.24630904197693
matrix, 20, 4000, 65.44717629750569
matrix, 25, 4000, 83.05074699719746
matrix, 30, 4000, 101.07021466890971
matrix, 10, 5000, 26.162741899490356
matrix, 15, 5000, 38.02976735432943
matrix, 20, 5000, 50.52847441037496
matrix, 25, 5000, 64.09552574157715
matrix, 30, 5000, 76.98130106925964
matrix, 10, 6000, 20.784730116526287
matrix, 15, 6000, 30.802519877751667
matrix, 20, 6000, 41.525564750035606
matrix, 25, 6000, 51.25976149241129
matrix, 30, 6000, 62.11094117164612
matrix, 10, 7000, 17.038076162338257
matrix, 15, 7000, 25.079991181691486
matrix, 20, 7000, 33.330788453420006
matrix, 25, 7000, 41.696359634399414
matrix, 30, 7000, 49.71489071846008
matrix, 10, 8000, 14.751387278238932
matrix, 15, 8000, 21.406877676645916
matrix, 20, 8000, 28.291027386983234
matrix, 25, 8000, 35.34795022010803
matrix, 30, 8000, 41.96050572395325
memcpy, 10, 1000, 93.71675944328308
memcpy, 15, 1000, 142.5862259864807
memcpy, 20, 1000, 193.71268137296042
memcpy, 25, 1000, 240.85082205136618
memcpy, 30, 1000, 287.76071341832477
memcpy, 10, 2000, 42.20884784062704
memcpy, 15, 2000, 63.87032079696655
memcpy, 20, 2000, 86.10509657859802
memcpy, 25, 2000, 103.65795683860779
memcpy, 30, 2000, 123.58009672164917
memcpy, 10, 3000, 27.45043396949768
memcpy, 15, 3000, 41.31032586097717
memcpy, 20, 3000, 55.823573430379234
memcpy, 25, 3000, 67.9321391582489
memcpy, 30, 3000, 82.94110035896301
memcpy, 10, 4000, 20.090670426686604
memcpy, 15, 4000, 30.438722531000774
memcpy, 20, 4000, 40.20490535100301
memcpy, 25, 4000, 50.973824977874756
memcpy, 30, 4000, 60.09722185134888
memcpy, 10, 5000, 16.357674996058147
memcpy, 15, 5000, 24.793964862823486
memcpy, 20, 5000, 32.93374021848043
memcpy, 25, 5000, 41.31691845258077
memcpy, 30, 5000, 49.23513778050741
memcpy, 10, 6000, 13.746496518452963
memcpy, 15, 6000, 20.62584122021993
memcpy, 20, 6000, 27.371822198232014
memcpy, 25, 6000, 34.23501737912496
memcpy, 30, 6000, 41.081079165140785
memcpy, 10, 7000, 12.196945667266846
memcpy, 15, 7000, 18.53052584330241
memcpy, 20, 7000, 24.219316482543945
memcpy, 25, 7000, 30.069105943044026
memcpy, 30, 7000, 36.00837302207947
memcpy, 10, 8000, 10.858802874883017
memcpy, 15, 8000, 16.367994864781696
memcpy, 20, 8000, 21.714235305786133
memcpy, 25, 8000, 27.3566841284434
memcpy, 30, 8000, 32.24091402689616
vecmath, 10, 1000, 194.5700981616974
vecmath, 15, 1000, 292.10185678799945
vecmath, 20, 1000, 388.5521670182546
vecmath, 25, 1000, 486.4327166875203
vecmath, 30, 1000, 582.994193315506
vecmath, 10, 2000, 68.84909423192342
vecmath, 15, 2000, 105.04343295097351
vecmath, 20, 2000, 141.54893867174783
vecmath, 25, 2000, 175.44795417785645
vecmath, 30, 2000, 211.1835872332255
vecmath, 10, 3000, 41.6185397307078
vecmath, 15, 3000, 61.9951848189036
vecmath, 20, 3000, 87.44921398162842
vecmath, 25, 3000, 105.93528461456299
vecmath, 30, 3000, 125.0216859181722
vecmath, 10, 4000, 29.517506043116253
vecmath, 15, 4000, 44.12797689437866
vecmath, 20, 4000, 58.4617223739624
vecmath, 25, 4000, 72.15313188234965
vecmath, 30, 4000, 84.82790557543437
vecmath, 10, 5000, 23.0505317846934
vecmath, 15, 5000, 33.75335582097372
vecmath, 20, 5000, 44.84593685468038
vecmath, 25, 5000, 55.476826190948486
vecmath, 30, 5000, 67.30281829833984
vecmath, 10, 6000, 19.293561061223347
vecmath, 15, 6000, 28.039870500564575
vecmath, 20, 6000, 36.52467544873556
vecmath, 25, 6000, 46.84786629676819
vecmath, 30, 6000, 56.553841749827065
vecmath, 10, 7000, 15.57591168085734
vecmath, 15, 7000, 22.68688726425171
vecmath, 20, 7000, 30.72464108467102
vecmath, 25, 7000, 37.97718056042989
vecmath, 30, 7000, 46.00447392463684
vecmath, 10, 8000, 13.7185431321462
vecmath, 15, 8000, 19.813598950703938
vecmath, 20, 8000, 26.610203901926678
vecmath, 25, 8000, 33.52853345870972
vecmath, 30, 8000, 39.47321685155233
zero, 10, 1000, 156.28668332099915
zero, 15, 1000, 234.5394713083903
zero, 20, 1000, 305.66045633951825
zero, 25, 1000, 344.5883069038391
zero, 30, 1000, 462.39953152338666
zero, 10, 2000, 58.06957332293192
zero, 15, 2000, 82.94783242543538
zero, 20, 2000, 110.67913182576497
zero, 25, 2000, 144.58087253570557
zero, 30, 2000, 168.32538874944052
zero, 10, 3000, 34.69946908950806
zero, 15, 3000, 51.91457486152649
zero, 20, 3000, 69.18645556767781
zero, 25, 3000, 86.33375978469849
zero, 30, 3000, 103.19027916590373
zero, 10, 4000, 23.86343828837077
zero, 15, 4000, 35.34695585568746
zero, 20, 4000, 46.390502532323204
zero, 25, 4000, 58.153737465540566
zero, 30, 4000, 70.27317523956299
zero, 10, 5000, 19.154248476028442
zero, 15, 5000, 28.37027319272359
zero, 20, 5000, 37.77149192492167
zero, 25, 5000, 47.56694539388021
zero, 30, 5000, 56.47952111562093
zero, 10, 6000, 15.1373663743337
zero, 15, 6000, 21.95367964108785
zero, 20, 6000, 30.68223547935486
zero, 25, 6000, 38.24079044659933
zero, 30, 6000, 47.45891229311625
zero, 10, 7000, 13.17873446146647
zero, 15, 7000, 19.53707830111186
zero, 20, 7000, 25.386335452397663
zero, 25, 7000, 31.403919617335003
zero, 30, 7000, 38.453308979670204
zero, 10, 8000, 10.839197794596354
zero, 15, 8000, 16.235681136449177
zero, 20, 8000, 22.06903386116028
zero, 25, 8000, 27.949780543645222
zero, 30, 8000, 33.40295441945394
