# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9
16964.000000,16009.000000,16890.000000,17069.000000,16779.000000,16654.000000,16580.000000,17407.000000,17037.000000,16651.000000
16009.000000,16890.000000,17069.000000,16779.000000,16654.000000,16580.000000,17407.000000,17037.000000,16651.000000,15324.000000
16890.000000,17069.000000,16779.000000,16654.000000,16580.000000,17407.000000,17037.000000,16651.000000,15324.000000,12987.000000
17069.000000,16779.000000,16654.000000,16580.000000,17407.000000,17037.000000,16651.000000,15324.000000,12987.000000,12845.000000
16779.000000,16654.000000,16580.000000,17407.000000,17037.000000,16651.000000,15324.000000,12987.000000,12845.000000,15439.000000
16654.000000,16580.000000,17407.000000,17037.000000,16651.000000,15324.000000,12987.000000,12845.000000,15439.000000,18280.000000
16580.000000,17407.000000,17037.000000,16651.000000,15324.000000,12987.000000,12845.000000,15439.000000,18280.000000,20439.000000
17407.000000,17037.000000,16651.000000,15324.000000,12987.000000,12845.000000,15439.000000,18280.000000,20439.000000,22588.000000
17037.000000,16651.000000,15324.000000,12987.000000,12845.000000,15439.000000,18280.000000,20439.000000,22588.000000,24047.000000
16651.000000,15324.000000,12987.000000,12845.000000,15439.000000,18280.000000,20439.000000,22588.000000,24047.000000,23745.000000
15324.000000,12987.000000,12845.000000,15439.000000,18280.000000,20439.000000,22588.000000,24047.000000,23745.000000,22420.000000
12987.000000,12845.000000,15439.000000,18280.000000,20439.000000,22588.000000,24047.000000,23745.000000,22420.000000,23260.000000
12845.000000,15439.000000,18280.000000,20439.000000,22588.000000,24047.000000,23745.000000,22420.000000,23260.000000,23454.000000
15439.000000,18280.000000,20439.000000,22588.000000,24047.000000,23745.000000,22420.000000,23260.000000,23454.000000,22822.000000
18280.000000,20439.000000,22588.000000,24047.000000,23745.000000,22420.000000,23260.000000,23454.000000,22822.000000,23704.000000
20439.000000,22588.000000,24047.000000,23745.000000,22420.000000,23260.000000,23454.000000,22822.000000,23704.000000,24940.000000
22588.000000,24047.000000,23745.000000,22420.000000,23260.000000,23454.000000,22822.000000,23704.000000,24940.000000,25951.000000
24047.000000,23745.000000,22420.000000,23260.000000,23454.000000,22822.000000,23704.000000,24940.000000,25951.000000,25479.000000
23745.000000,22420.000000,23260.000000,23454.000000,22822.000000,23704.000000,24940.000000,25951.000000,25479.000000,25234.000000
22420.000000,23260.000000,23454.000000,22822.000000,23704.000000,24940.000000,25951.000000,25479.000000,25234.000000,23378.000000
23260.000000,23454.000000,22822.000000,23704.000000,24940.000000,25951.000000,25479.000000,25234.000000,23378.000000,22180.000000
23454.000000,22822.000000,23704.000000,24940.000000,25951.000000,25479.000000,25234.000000,23378.000000,22180.000000,20497.000000
22822.000000,23704.000000,24940.000000,25951.000000,25479.000000,25234.000000,23378.000000,22180.000000,20497.000000,18933.000000
23704.000000,24940.000000,25951.000000,25479.000000,25234.000000,23378.000000,22180.000000,20497.000000,18933.000000,17041.000000
24940.000000,25951.000000,25479.000000,25234.000000,23378.000000,22180.000000,20497.000000,18933.000000,17041.000000,14983.000000
25951.000000,25479.000000,25234.000000,23378.000000,22180.000000,20497.000000,18933.000000,17041.000000,14983.000000,12488.000000
25479.000000,25234.000000,23378.000000,22180.000000,20497.000000,18933.000000,17041.000000,14983.000000,12488.000000,10554.000000
25234.000000,23378.000000,22180.000000,20497.000000,18933.000000,17041.000000,14983.000000,12488.000000,10554.000000,6425.000000
23378.000000,22180.000000,20497.000000,18933.000000,17041.000000,14983.000000,12488.000000,10554.000000,6425.000000,4384.000000
22180.000000,20497.000000,18933.000000,17041.000000,14983.000000,12488.000000,10554.000000,6425.000000,4384.000000,3611.000000
20497.000000,18933.000000,17041.000000,14983.000000,12488.000000,10554.000000,6425.000000,4384.000000,3611.000000,3904.000000
18933.000000,17041.000000,14983.000000,12488.000000,10554.000000,6425.000000,4384.000000,3611.000000,3904.000000,5204.000000
17041.000000,14983.000000,12488.000000,10554.000000,6425.000000,4384.000000,3611.000000,3904.000000,5204.000000,5624.000000
14983.000000,12488.000000,10554.000000,6425.000000,4384.000000,3611.000000,3904.000000,5204.000000,5624.000000,7264.000000
12488.000000,10554.000000,6425.000000,4384.000000,3611.000000,3904.000000,5204.000000,5624.000000,7264.000000,7501.000000
10554.000000,6425.000000,4384.000000,3611.000000,3904.000000,5204.000000,5624.000000,7264.000000,7501.000000,9344.000000
6425.000000,4384.000000,3611.000000,3904.000000,5204.000000,5624.000000,7264.000000,7501.000000,9344.000000,10021.000000
4384.000000,3611.000000,3904.000000,5204.000000,5624.000000,7264.000000,7501.000000,9344.000000,10021.000000,12227.000000
3611.000000,3904.000000,5204.000000,5624.000000,7264.000000,7501.000000,9344.000000,10021.000000,12227.000000,12203.000000
3904.000000,5204.000000,5624.000000,7264.000000,7501.000000,9344.000000,10021.000000,12227.000000,12203.000000,14669.000000
5204.000000,5624.000000,7264.000000,7501.000000,9344.000000,10021.000000,12227.000000,12203.000000,14669.000000,14849.000000
5624.000000,7264.000000,7501.000000,9344.000000,10021.000000,12227.000000,12203.000000,14669.000000,14849.000000,16363.000000
7264.000000,7501.000000,9344.000000,10021.000000,12227.000000,12203.000000,14669.000000,14849.000000,16363.000000,16489.000000
7501.000000,9344.000000,10021.000000,12227.000000,12203.000000,14669.000000,14849.000000,16363.000000,16489.000000,17237.000000
9344.000000,10021.000000,12227.000000,12203.000000,14669.000000,14849.000000,16363.000000,16489.000000,17237.000000,17955.000000
10021.000000,12227.000000,12203.000000,14669.000000,14849.000000,16363.000000,16489.000000,17237.000000,17955.000000,17713.000000
12227.000000,12203.000000,14669.000000,14849.000000,16363.000000,16489.000000,17237.000000,17955.000000,17713.000000,17418.000000
12203.000000,14669.000000,14849.000000,16363.000000,16489.000000,17237.000000,17955.000000,17713.000000,17418.000000,17679.000000
14669.000000,14849.000000,16363.000000,16489.000000,17237.000000,17955.000000,17713.000000,17418.000000,17679.000000,18014.000000
14849.000000,16363.000000,16489.000000,17237.000000,17955.000000,17713.000000,17418.000000,17679.000000,18014.000000,18031.000000
16363.000000,16489.000000,17237.000000,17955.000000,17713.000000,17418.000000,17679.000000,18014.000000,18031.000000,17643.000000
16489.000000,17237.000000,17955.000000,17713.000000,17418.000000,17679.000000,18014.000000,18031.000000,17643.000000,17167.000000
17237.000000,17955.000000,17713.000000,17418.000000,17679.000000,18014.000000,18031.000000,17643.000000,17167.000000,18409.000000
17955.000000,17713.000000,17418.000000,17679.000000,18014.000000,18031.000000,17643.000000,17167.000000,18409.000000,20034.000000
17713.000000,17418.000000,17679.000000,18014.000000,18031.000000,17643.000000,17167.000000,18409.000000,20034.000000,21113.000000
17418.000000,17679.000000,18014.000000,18031.000000,17643.000000,17167.000000,18409.000000,20034.000000,21113.000000,21487.000000
17679.000000,18014.000000,18031.000000,17643.000000,17167.000000,18409.000000,20034.000000,21113.000000,21487.000000,22872.000000
18014.000000,18031.000000,17643.000000,17167.000000,18409.000000,20034.000000,21113.000000,21487.000000,22872.000000,22995.000000
18031.000000,17643.000000,17167.000000,18409.000000,20034.000000,21113.000000,21487.000000,22872.000000,22995.000000,20896.000000
17643.000000,17167.000000,18409.000000,20034.000000,21113.000000,21487.000000,22872.000000,22995.000000,20896.000000,21411.000000
17167.000000,18409.000000,20034.000000,21113.000000,21487.000000,22872.000000,22995.000000,20896.000000,21411.000000,21273.000000
18409.000000,20034.000000,21113.000000,21487.000000,22872.000000,22995.000000,20896.000000,21411.000000,21273.000000,21628.000000
20034.000000,21113.000000,21487.000000,22872.000000,22995.000000,20896.000000,21411.000000,21273.000000,21628.000000,21872.000000
21113.000000,21487.000000,22872.000000,22995.000000,20896.000000,21411.000000,21273.000000,21628.000000,21872.000000,23457.000000
21487.000000,22872.000000,22995.000000,20896.000000,21411.000000,21273.000000,21628.000000,21872.000000,23457.000000,24958.000000
22872.000000,22995.000000,20896.000000,21411.000000,21273.000000,21628.000000,21872.000000,23457.000000,24958.000000,24984.000000
22995.000000,20896.000000,21411.000000,21273.000000,21628.000000,21872.000000,23457.000000,24958.000000,24984.000000,24613.000000
20896.000000,21411.000000,21273.000000,21628.000000,21872.000000,23457.000000,24958.000000,24984.000000,24613.000000,23468.000000
21411.000000,21273.000000,21628.000000,21872.000000,23457.000000,24958.000000,24984.000000,24613.000000,23468.000000,22125.000000
21273.000000,21628.000000,21872.000000,23457.000000,24958.000000,24984.000000,24613.000000,23468.000000,22125.000000,22220.000000
21628.000000,21872.000000,23457.000000,24958.000000,24984.000000,24613.000000,23468.000000,22125.000000,22220.000000,20171.000000
21872.000000,23457.000000,24958.000000,24984.000000,24613.000000,23468.000000,22125.000000,22220.000000,20171.000000,17690.000000
23457.000000,24958.000000,24984.000000,24613.000000,23468.000000,22125.000000,22220.000000,20171.000000,17690.000000,14908.000000
24958.000000,24984.000000,24613.000000,23468.000000,22125.000000,22220.000000,20171.000000,17690.000000,14908.000000,13465.000000
24984.000000,24613.000000,23468.000000,22125.000000,22220.000000,20171.000000,17690.000000,14908.000000,13465.000000,11663.000000
24613.000000,23468.000000,22125.000000,22220.000000,20171.000000,17690.000000,14908.000000,13465.000000,11663.000000,6997.000000
23468.000000,22125.000000,22220.000000,20171.000000,17690.000000,14908.000000,13465.000000,11663.000000,6997.000000,4810.000000
22125.000000,22220.000000,20171.000000,17690.000000,14908.000000,13465.000000,11663.000000,6997.000000,4810.000000,3650.000000
22220.000000,20171.000000,17690.000000,14908.000000,13465.000000,11663.000000,6997.000000,4810.000000,3650.000000,3561.000000
20171.000000,17690.000000,14908.000000,13465.000000,11663.000000,6997.000000,4810.000000,3650.000000,3561.000000,4060.000000
17690.000000,14908.000000,13465.000000,11663.000000,6997.000000,4810.000000,3650.000000,3561.000000,4060.000000,4382.000000
14908.000000,13465.000000,11663.000000,6997.000000,4810.000000,3650.000000,3561.000000,4060.000000,4382.000000,5741.000000
13465.000000,11663.000000,6997.000000,4810.000000,3650.000000,3561.000000,4060.000000,4382.000000,5741.000000,6722.000000
11663.000000,6997.000000,4810.000000,3650.000000,3561.000000,4060.000000,4382.000000,5741.000000,6722.000000,7857.000000
6997.000000,4810.000000,3650.000000,3561.000000,4060.000000,4382.000000,5741.000000,6722.000000,7857.000000,8424.000000
4810.000000,3650.000000,3561.000000,4060.000000,4382.000000,5741.000000,6722.000000,7857.000000,8424.000000,10636.000000
3650.000000,3561.000000,4060.000000,4382.000000,5741.000000,6722.000000,7857.000000,8424.000000,10636.000000,11811.000000
3561.000000,4060.000000,4382.000000,5741.000000,6722.000000,7857.000000,8424.000000,10636.000000,11811.000000,13776.000000
4060.000000,4382.000000,5741.000000,6722.000000,7857.000000,8424.000000,10636.000000,11811.000000,13776.000000,14821.000000
4382.000000,5741.000000,6722.000000,7857.000000,8424.000000,10636.000000,11811.000000,13776.000000,14821.000000,16169.000000
5741.000000,6722.000000,7857.000000,8424.000000,10636.000000,11811.000000,13776.000000,14821.000000,16169.000000,16715.000000
6722.000000,7857.000000,8424.000000,10636.000000,11811.000000,13776.000000,14821.000000,16169.000000,16715.000000,17652.000000
7857.000000,8424.000000,10636.000000,11811.000000,13776.000000,14821.000000,16169.000000,16715.000000,17652.000000,17360.000000
8424.000000,10636.000000,11811.000000,13776.000000,14821.000000,16169.000000,16715.000000,17652.000000,17360.000000,17167.000000
10636.000000,11811.000000,13776.000000,14821.000000,16169.000000,16715.000000,17652.000000,17360.000000,17167.000000,18546.000000
11811.000000,13776.000000,14821.000000,16169.000000,16715.000000,17652.000000,17360.000000,17167.000000,18546.000000,17882.000000
13776.000000,14821.000000,16169.000000,16715.000000,17652.000000,17360.000000,17167.000000,18546.000000,17882.000000,17268.000000
14821.000000,16169.000000,16715.000000,17652.000000,17360.000000,17167.000000,18546.000000,17882.000000,17268.000000,17322.000000
16169.000000,16715.000000,17652.000000,17360.000000,17167.000000,18546.000000,17882.000000,17268.000000,17322.000000,16500.000000
16715.000000,17652.000000,17360.000000,17167.000000,18546.000000,17882.000000,17268.000000,17322.000000,16500.000000,16446.000000
17652.000000,17360.000000,17167.000000,18546.000000,17882.000000,17268.000000,17322.000000,16500.000000,16446.000000,17317.000000
17360.000000,17167.000000,18546.000000,17882.000000,17268.000000,17322.000000,16500.000000,16446.000000,17317.000000,18472.000000
17167.000000,18546.000000,17882.000000,17268.000000,17322.000000,16500.000000,16446.000000,17317.000000,18472.000000,19503.000000
18546.000000,17882.000000,17268.000000,17322.000000,16500.000000,16446.000000,17317.000000,18472.000000,19503.000000,19622.000000
17882.000000,17268.000000,17322.000000,16500.000000,16446.000000,17317.000000,18472.000000,19503.000000,19622.000000,18900.000000
17268.000000,17322.000000,16500.000000,16446.000000,17317.000000,18472.000000,19503.000000,19622.000000,18900.000000,17188.000000
17322.000000,16500.000000,16446.000000,17317.000000,18472.000000,19503.000000,19622.000000,18900.000000,17188.000000,16880.000000
16500.000000,16446.000000,17317.000000,18472.000000,19503.000000,19622.000000,18900.000000,17188.000000,16880.000000,17035.000000
16446.000000,17317.000000,18472.000000,19503.000000,19622.000000,18900.000000,17188.000000,16880.000000,17035.000000,16790.000000
17317.000000,18472.000000,19503.000000,19622.000000,18900.000000,17188.000000,16880.000000,17035.000000,16790.000000,17007.000000
18472.000000,19503.000000,19622.000000,18900.000000,17188.000000,16880.000000,17035.000000,16790.000000,17007.000000,15893.000000
19503.000000,19622.000000,18900.000000,17188.000000,16880.000000,17035.000000,16790.000000,17007.000000,15893.000000,14672.000000
19622.000000,18900.000000,17188.000000,16880.000000,17035.000000,16790.000000,17007.000000,15893.000000,14672.000000,12667.000000
18900.000000,17188.000000,16880.000000,17035.000000,16790.000000,17007.000000,15893.000000,14672.000000,12667.000000,10905.000000
17188.000000,16880.000000,17035.000000,16790.000000,17007.000000,15893.000000,14672.000000,12667.000000,10905.000000,8882.000000
16880.000000,17035.000000,16790.000000,17007.000000,15893.000000,14672.000000,12667.000000,10905.000000,8882.000000,6896.000000
17035.000000,16790.000000,17007.000000,15893.000000,14672.000000,12667.000000,10905.000000,8882.000000,6896.000000,5417.000000
16790.000000,17007.000000,15893.000000,14672.000000,12667.000000,10905.000000,8882.000000,6896.000000,5417.000000,4245.000000
17007.000000,15893.000000,14672.000000,12667.000000,10905.000000,8882.000000,6896.000000,5417.000000,4245.000000,3478.000000
15893.000000,14672.000000,12667.000000,10905.000000,8882.000000,6896.000000,5417.000000,4245.000000,3478.000000,2525.000000
14672.000000,12667.000000,10905.000000,8882.000000,6896.000000,5417.000000,4245.000000,3478.000000,2525.000000,2288.000000
12667.000000,10905.000000,8882.000000,6896.000000,5417.000000,4245.000000,3478.000000,2525.000000,2288.000000,2114.000000
10905.000000,8882.000000,6896.000000,5417.000000,4245.000000,3478.000000,2525.000000,2288.000000,2114.000000,2212.000000
8882.000000,6896.000000,5417.000000,4245.000000,3478.000000,2525.000000,2288.000000,2114.000000,2212.000000,2303.000000
6896.000000,5417.000000,4245.000000,3478.000000,2525.000000,2288.000000,2114.000000,2212.000000,2303.000000,2482.000000
5417.000000,4245.000000,3478.000000,2525.000000,2288.000000,2114.000000,2212.000000,2303.000000,2482.000000,4420.000000
4245.000000,3478.000000,2525.000000,2288.000000,2114.000000,2212.000000,2303.000000,2482.000000,4420.000000,6426.000000
3478.000000,2525.000000,2288.000000,2114.000000,2212.000000,2303.000000,2482.000000,4420.000000,6426.000000,10775.000000
2525.000000,2288.000000,2114.000000,2212.000000,2303.000000,2482.000000,4420.000000,6426.000000,10775.000000,12795.000000
2288.000000,2114.000000,2212.000000,2303.000000,2482.000000,4420.000000,6426.000000,10775.000000,12795.000000,15762.000000
2114.000000,2212.000000,2303.000000,2482.000000,4420.000000,6426.000000,10775.000000,12795.000000,15762.000000,17271.000000
2212.000000,2303.000000,2482.000000,4420.000000,6426.000000,10775.000000,12795.000000,15762.000000,17271.000000,18418.000000
2303.000000,2482.000000,4420.000000,6426.000000,10775.000000,12795.000000,15762.000000,17271.000000,18418.000000,18214.000000
2482.000000,4420.000000,6426.000000,10775.000000,12795.000000,15762.000000,17271.000000,18418.000000,18214.000000,17223.000000
4420.000000,6426.000000,10775.000000,12795.000000,15762.000000,17271.000000,18418.000000,18214.000000,17223.000000,15029.000000
6426.000000,10775.000000,12795.000000,15762.000000,17271.000000,18418.000000,18214.000000,17223.000000,15029.000000,15614.000000
10775.000000,12795.000000,15762.000000,17271.000000,18418.000000,18214.000000,17223.000000,15029.000000,15614.000000,15026.000000
12795.000000,15762.000000,17271.000000,18418.000000,18214.000000,17223.000000,15029.000000,15614.000000,15026.000000,16170.000000
15762.000000,17271.000000,18418.000000,18214.000000,17223.000000,15029.000000,15614.000000,15026.000000,16170.000000,16111.000000
17271.000000,18418.000000,18214.000000,17223.000000,15029.000000,15614.000000,15026.000000,16170.000000,16111.000000,16049.000000
18418.000000,18214.000000,17223.000000,15029.000000,15614.000000,15026.000000,16170.000000,16111.000000,16049.000000,16084.000000
18214.000000,17223.000000,15029.000000,15614.000000,15026.000000,16170.000000,16111.000000,16049.000000,16084.000000,16640.000000
17223.000000,15029.000000,15614.000000,15026.000000,16170.000000,16111.000000,16049.000000,16084.000000,16640.000000,16634.000000
15029.000000,15614.000000,15026.000000,16170.000000,16111.000000,16049.000000,16084.000000,16640.000000,16634.000000,17210.000000
15614.000000,15026.000000,16170.000000,16111.000000,16049.000000,16084.000000,16640.000000,16634.000000,17210.000000,16546.000000
15026.000000,16170.000000,16111.000000,16049.000000,16084.000000,16640.000000,16634.000000,17210.000000,16546.000000,16798.000000
16170.000000,16111.000000,16049.000000,16084.000000,16640.000000,16634.000000,17210.000000,16546.000000,16798.000000,15124.000000
16111.000000,16049.000000,16084.000000,16640.000000,16634.000000,17210.000000,16546.000000,16798.000000,15124.000000,14870.000000
16049.000000,16084.000000,16640.000000,16634.000000,17210.000000,16546.000000,16798.000000,15124.000000,14870.000000,16956.000000
16084.000000,16640.000000,16634.000000,17210.000000,16546.000000,16798.000000,15124.000000,14870.000000,16956.000000,18613.000000
16640.000000,16634.000000,17210.000000,16546.000000,16798.000000,15124.000000,14870.000000,16956.000000,18613.000000,21126.000000
16634.000000,17210.000000,16546.000000,16798.000000,15124.000000,14870.000000,16956.000000,18613.000000,21126.000000,22510.000000
17210.000000,16546.000000,16798.000000,15124.000000,14870.000000,16956.000000,18613.000000,21126.000000,22510.000000,22568.000000
16546.000000,16798.000000,15124.000000,14870.000000,16956.000000,18613.000000,21126.000000,22510.000000,22568.000000,21668.000000
16798.000000,15124.000000,14870.000000,16956.000000,18613.000000,21126.000000,22510.000000,22568.000000,21668.000000,21659.000000
15124.000000,14870.000000,16956.000000,18613.000000,21126.000000,22510.000000,22568.000000,21668.000000,21659.000000,21278.000000
14870.000000,16956.000000,18613.000000,21126.000000,22510.000000,22568.000000,21668.000000,21659.000000,21278.000000,21346.000000
16956.000000,18613.000000,21126.000000,22510.000000,22568.000000,21668.000000,21659.000000,21278.000000,21346.000000,20247.000000
18613.000000,21126.000000,22510.000000,22568.000000,21668.000000,21659.000000,21278.000000,21346.000000,20247.000000,19945.000000
21126.000000,22510.000000,22568.000000,21668.000000,21659.000000,21278.000000,21346.000000,20247.000000,19945.000000,17601.000000
22510.000000,22568.000000,21668.000000,21659.000000,21278.000000,21346.000000,20247.000000,19945.000000,17601.000000,15750.000000
22568.000000,21668.000000,21659.000000,21278.000000,21346.000000,20247.000000,19945.000000,17601.000000,15750.000000,12897.000000
21668.000000,21659.000000,21278.000000,21346.000000,20247.000000,19945.000000,17601.000000,15750.000000,12897.000000,10385.000000
21659.000000,21278.000000,21346.000000,20247.000000,19945.000000,17601.000000,15750.000000,12897.000000,10385.000000,8125.000000
21278.000000,21346.000000,20247.000000,19945.000000,17601.000000,15750.000000,12897.000000,10385.000000,8125.000000,6294.000000
21346.000000,20247.000000,19945.000000,17601.000000,15750.000000,12897.000000,10385.000000,8125.000000,6294.000000,4485.000000
20247.000000,19945.000000,17601.000000,15750.000000,12897.000000,10385.000000,8125.000000,6294.000000,4485.000000,3669.000000
19945.000000,17601.000000,15750.000000,12897.000000,10385.000000,8125.000000,6294.000000,4485.000000,3669.000000,3097.000000
17601.000000,15750.000000,12897.000000,10385.000000,8125.000000,6294.000000,4485.000000,3669.000000,3097.000000,2484.000000
15750.000000,12897.000000,10385.000000,8125.000000,6294.000000,4485.000000,3669.000000,3097.000000,2484.000000,2011.000000
12897.000000,10385.000000,8125.000000,6294.000000,4485.000000,3669.000000,3097.000000,2484.000000,2011.000000,2175.000000
10385.000000,8125.000000,6294.000000,4485.000000,3669.000000,3097.000000,2484.000000,2011.000000,2175.000000,2108.000000
8125.000000,6294.000000,4485.000000,3669.000000,3097.000000,2484.000000,2011.000000,2175.000000,2108.000000,2252.000000
6294.000000,4485.000000,3669.000000,3097.000000,2484.000000,2011.000000,2175.000000,2108.000000,2252.000000,4131.000000
4485.000000,3669.000000,3097.000000,2484.000000,2011.000000,2175.000000,2108.000000,2252.000000,4131.000000,6599.000000
3669.000000,3097.000000,2484.000000,2011.000000,2175.000000,2108.000000,2252.000000,4131.000000,6599.000000,11040.000000
3097.000000,2484.000000,2011.000000,2175.000000,2108.000000,2252.000000,4131.000000,6599.000000,11040.000000,13290.000000
2484.000000,2011.000000,2175.000000,2108.000000,2252.000000,4131.000000,6599.000000,11040.000000,13290.000000,16754.000000
2011.000000,2175.000000,2108.000000,2252.000000,4131.000000,6599.000000,11040.000000,13290.000000,16754.000000,18504.000000
2175.000000,2108.000000,2252.000000,4131.000000,6599.000000,11040.000000,13290.000000,16754.000000,18504.000000,19897.000000
2108.000000,2252.000000,4131.000000,6599.000000,11040.000000,13290.000000,16754.000000,18504.000000,19897.000000,19208.000000
2252.000000,4131.000000,6599.000000,11040.000000,13290.000000,16754.000000,18504.000000,19897.000000,19208.000000,18253.000000
4131.000000,6599.000000,11040.000000,13290.000000,16754.000000,18504.000000,19897.000000,19208.000000,18253.000000,16976.000000
6599.000000,11040.000000,13290.000000,16754.000000,18504.000000,19897.000000,19208.000000,18253.000000,16976.000000,16888.000000
11040.000000,13290.000000,16754.000000,18504.000000,19897.000000,19208.000000,18253.000000,16976.000000,16888.000000,16080.000000
13290.000000,16754.000000,18504.000000,19897.000000,19208.000000,18253.000000,16976.000000,16888.000000,16080.000000,17328.000000
16754.000000,18504.000000,19897.000000,19208.000000,18253.000000,16976.000000,16888.000000,16080.000000,17328.000000,17901.000000
18504.000000,19897.000000,19208.000000,18253.000000,16976.000000,16888.000000,16080.000000,17328.000000,17901.000000,18121.000000
19897.000000,19208.000000,18253.000000,16976.000000,16888.000000,16080.000000,17328.000000,17901.000000,18121.000000,17478.000000
19208.000000,18253.000000,16976.000000,16888.000000,16080.000000,17328.000000,17901.000000,18121.000000,17478.000000,18616.000000
18253.000000,16976.000000,16888.000000,16080.000000,17328.000000,17901.000000,18121.000000,17478.000000,18616.000000,18576.000000
16976.000000,16888.000000,16080.000000,17328.000000,17901.000000,18121.000000,17478.000000,18616.000000,18576.000000,18465.000000
16888.000000,16080.000000,17328.000000,17901.000000,18121.000000,17478.000000,18616.000000,18576.000000,18465.000000,17373.000000
16080.000000,17328.000000,17901.000000,18121.000000,17478.000000,18616.000000,18576.000000,18465.000000,17373.000000,16457.000000
17328.000000,17901.000000,18121.000000,17478.000000,18616.000000,18576.000000,18465.000000,17373.000000,16457.000000,14626.000000
17901.000000,18121.000000,17478.000000,18616.000000,18576.000000,18465.000000,17373.000000,16457.000000,14626.000000,13466.000000
18121.000000,17478.000000,18616.000000,18576.000000,18465.000000,17373.000000,16457.000000,14626.000000,13466.000000,16213.000000
17478.000000,18616.000000,18576.000000,18465.000000,17373.000000,16457.000000,14626.000000,13466.000000,16213.000000,18715.000000
18616.000000,18576.000000,18465.000000,17373.000000,16457.000000,14626.000000,13466.000000,16213.000000,18715.000000,21356.000000
18576.000000,18465.000000,17373.000000,16457.000000,14626.000000,13466.000000,16213.000000,18715.000000,21356.000000,22899.000000
18465.000000,17373.000000,16457.000000,14626.000000,13466.000000,16213.000000,18715.000000,21356.000000,22899.000000,23782.000000
17373.000000,16457.000000,14626.000000,13466.000000,16213.000000,18715.000000,21356.000000,22899.000000,23782.000000,22778.000000
16457.000000,14626.000000,13466.000000,16213.000000,18715.000000,21356.000000,22899.000000,23782.000000,22778.000000,22401.000000
14626.000000,13466.000000,16213.000000,18715.000000,21356.000000,22899.000000,23782.000000,22778.000000,22401.000000,22986.000000
13466.000000,16213.000000,18715.000000,21356.000000,22899.000000,23782.000000,22778.000000,22401.000000,22986.000000,23340.000000
16213.000000,18715.000000,21356.000000,22899.000000,23782.000000,22778.000000,22401.000000,22986.000000,23340.000000,24046.000000
18715.000000,21356.000000,22899.000000,23782.000000,22778.000000,22401.000000,22986.000000,23340.000000,24046.000000,22726.000000
21356.000000,22899.000000,23782.000000,22778.000000,22401.000000,22986.000000,23340.000000,24046.000000,22726.000000,20819.000000
22899.000000,23782.000000,22778.000000,22401.000000,22986.000000,23340.000000,24046.000000,22726.000000,20819.000000,19149.000000
23782.000000,22778.000000,22401.000000,22986.000000,23340.000000,24046.000000,22726.000000,20819.000000,19149.000000,16406.000000
22778.000000,22401.000000,22986.000000,23340.000000,24046.000000,22726.000000,20819.000000,19149.000000,16406.000000,13399.000000
22401.000000,22986.000000,23340.000000,24046.000000,22726.000000,20819.000000,19149.000000,16406.000000,13399.000000,10273.000000
22986.000000,23340.000000,24046.000000,22726.000000,20819.000000,19149.000000,16406.000000,13399.000000,10273.000000,7723.000000
